,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Year
0,Manjeshwar,1,GEN,Kasaragod,P B Abdul Razak,Indian Union Muslim League,"2,08,145","1,58,238",76.0 %,89,0.1%,2016
1,Kasaragod,2,GEN,Kasaragod,N A Nellikkunnu,Indian Union Muslim League,"1,88,848","1,44,088",76.3 %,"8,607",6.0%,2016
2,Udma,3,GEN,Kasaragod,K Kunhiraman,Communist Party Of India (Marxist),"1,99,829","1,60,465",80.3 %,"3,832",2.4%,2016
3,Kanhangad,4,GEN,Kasaragod,E.Chandrashekaran,Communist Party Of India,"2,04,445","1,60,333",78.4 %,"26,011",16.2%,2016
4,Trikaripur,5,GEN,Kasaragod,M.Rajagopalan,Communist Party Of India (Marxist),"1,89,246","1,54,897",81.8 %,"16,959",10.9%,2016
5,Payyannur,6,GEN,Kannur,C Krishnan,Communist Party Of India (Marxist),"1,73,799","1,42,400",81.9 %,"40,263",28.3%,2016
6,Kalliasseri,7,GEN,Kannur,T V Rajesh,Communist Party Of India (Marxist),"1,75,909","1,38,127",78.5 %,"42,891",31.1%,2016
7,Taliparamba,8,GEN,Kannur,James Mathew,Communist Party Of India (Marxist),"1,95,688","1,59,113",81.3 %,"40,617",25.5%,2016
8,Irikkur,9,GEN,Kannur,K C Joseph,Indian National Congress,"1,87,023","1,47,519",78.9 %,"9,647",6.5%,2016
9,Azhikode,10,GEN,Kannur,K M Shaji,Indian Union Muslim League,"1,72,205","1,41,045",81.9 %,"2,287",1.6%,2016
10,Kannur,11,GEN,Kannur,Ramachandran Kadannappalli,Congress (Secular),"1,62,198","1,25,702",77.5 %,"1,196",1.0%,2016
11,Dharmadam,12,GEN,Kannur,Pinarayi Vijayan,Communist Party Of India (Marxist),"1,82,266","1,53,012",83.9 %,"36,905",24.1%,2016
12,Thalassery,13,GEN,Kannur,Adv. A N Shamseer,Communist Party Of India (Marxist),"1,66,342","1,32,152",79.4 %,"34,117",25.8%,2016
13,Kuthuparamba,14,GEN,Kannur,K K Shailaja Teacher,Communist Party Of India (Marxist),"1,80,683","1,46,323",81.0 %,"12,291",8.4%,2016
14,Mattannur,15,GEN,Kannur,E. P. Jayarajan,Communist Party Of India (Marxist),"1,77,911","1,47,257",82.8 %,"43,381",29.5%,2016
15,Peravoor,16,GEN,Kannur,Adv. Sunny Joseph,Indian National Congress,"1,67,590","1,36,047",81.2 %,"7,989",5.9%,2016
16,Mananthavady,17,ST,Wayanad,O R Kelu,Communist Party Of India (Marxist),"1,87,377","1,44,542",77.1 %,"1,307",0.9%,2016
17,Sulthanbathery,18,ST,Wayanad,I C Balakrishnan,Indian National Congress,"2,17,661","1,70,743",78.4 %,"11,198",6.6%,2016
18,Kalpetta,19,GEN,Wayanad,C K Saseendran,Communist Party Of India (Marxist),"1,90,643","1,49,735",78.5 %,"13,083",8.7%,2016
19,Vadakara,20,GEN,Kozhikode,C.K.Nanu,Janata Dal (Secular),"1,58,509","1,29,066",81.4 %,"9,511",7.4%,2016
20,Kuttiadi,21,GEN,Kozhikode,Parakkal Abdulla,Indian Union Muslim League,"1,84,215","1,57,435",85.5 %,"1,157",0.7%,2016
21,Nadapuram,22,GEN,Kozhikode,E. K. Vijayan,Communist Party Of India,"2,01,357","1,62,483",80.7 %,"4,759",2.9%,2016
22,Quilandy,23,GEN,Kozhikode,K.Dasan,Communist Party Of India (Marxist),"1,87,613","1,53,014",81.6 %,"13,369",8.7%,2016
23,Perambra,24,GEN,Kozhikode,T.P.Ramakrishnan,Communist Party Of India (Marxist),"1,78,762","1,52,896",85.5 %,"4,101",2.7%,2016
24,Balusseri,25,SC,Kozhikode,Purushuan Kadalundi,Communist Party Of India (Marxist),"2,08,174","1,73,930",83.6 %,"15,464",8.9%,2016
25,Elathur,26,GEN,Kozhikode,A K Saseendran,Nationalist Congress Party,"1,87,392","1,56,020",83.3 %,"29,057",18.6%,2016
26,Kozhikode North,27,GEN,Kozhikode,A Pradeep Kumar,Communist Party Of India (Marxist),"1,69,103","1,31,847",78.0 %,"27,873",21.1%,2016
27,Kozhikode South,28,GEN,Kozhikode,Dr. M.K.Muneer,Indian Union Muslim League,"1,48,848","1,14,829",77.1 %,"6,327",5.5%,2016
28,Beypore,29,GEN,Kozhikode,Mammed Koya V K C,Communist Party Of India (Marxist),"1,90,888","1,55,104",81.3 %,"14,363",9.3%,2016
29,Kunnamangalam,30,GEN,Kozhikode,P.T.A. Rahim,Independent,"2,09,391","1,79,193",85.6 %,"11,205",6.3%,2016
30,Koduvally,31,GEN,Kozhikode,Karat Razack,Independent,"1,67,480","1,36,807",81.7 %,573,0.4%,2016
31,Thiruvambady,32,GEN,Kozhikode,George M. Thomas,Communist Party Of India (Marxist),"1,67,999","1,34,910",80.3 %,"3,008",2.2%,2016
32,Kondotty,33,GEN,Malappuram,T.V. Ibrahim,Indian Union Muslim League,"1,88,114","1,48,973",79.2 %,"10,654",7.2%,2016
33,Eranad,34,GEN,Malappuram,P.K Basheer,Indian Union Muslim League,"1,65,869","1,35,389",81.6 %,"12,893",9.5%,2016
34,Nilambur,35,GEN,Malappuram,P V Anvar,Independent,"2,05,668","1,61,247",78.4 %,"11,504",7.1%,2016
35,Wandoor,36,SC,Malappuram,A.P. Anil Kumar,Indian National Congress,"2,09,876","1,55,032",73.9 %,"23,864",15.4%,2016
36,Manjeri,37,GEN,Malappuram,Adv. M Ummer,Indian Union Muslim League,"1,90,113","1,38,033",72.6 %,"19,616",14.2%,2016
37,Perinthalmanna,38,GEN,Malappuram,Manjalamkuzhi Ali,Indian Union Muslim League,"1,94,908","1,50,904",77.4 %,579,0.4%,2016
38,Mankada,39,GEN,Malappuram,T A Ahammed Kabeer,Indian Union Muslim League,"1,94,394","1,49,620",77.0 %,"1,508",1.0%,2016
39,Malappuram,40,GEN,Malappuram,P Ubaidulla,Indian Union Muslim League,"1,93,649","1,41,007",72.8 %,"35,672",25.3%,2016
40,Vengara,41,GEN,Malappuram,P.K. Kunhalikkutty,Indian Union Muslim League,"1,69,616","1,19,745",70.6 %,"38,057",31.8%,2016
41,Vallikkunnu,42,GEN,Malappuram,Abdul Hameed Master,Indian Union Muslim League,"1,83,444","1,36,732",74.5 %,"12,610",9.2%,2016
42,Tirurangadi,43,GEN,Malappuram,P.K Abdu Rabb,Indian Union Muslim League,"1,82,756","1,34,616",73.7 %,"6,043",4.5%,2016
43,Tanur,44,GEN,Malappuram,V Abdurahiman,National Secular Conference,"1,76,025","1,40,269",79.7 %,"4,918",3.5%,2016
